,title,price
0,华为智慧屏 SE 65英寸 2+16GB 超薄电视 广色域鸿鹄画质 4K超高清智能液晶电视机HD65DESA【HarmonyOS 2】,2499.00
1,华为智慧屏 SE55 MEMC迅晰流畅 55英寸超薄全面屏 4K超高清智能电视 2GB+16GB 星际黑HD55KHAA,1999.00
2,索尼（SONY）XR-65X91K 65英寸 全面屏4K HDR 专业游戏电视 PS5理想搭档 XR认知芯片 /120fps 65X91J升级款,7499.00
3,TCL雷鸟电视雀4 43英寸电视 4K超清超薄全面屏 全生态HDR10 AI远场语音 液晶智能电视机43F265C 以旧换新,899.00
4,小米电视EA55 2022款 55英寸 金属全面屏 远场语音 逐台校准4K超高清智能教育电视机L55M7-EA以旧换新,1299.00
5,索尼（SONY）KD-65X80K 65英寸 全面屏 4K超高清HDR 安卓智能电视 X1芯片 特丽魅彩Pro X80J升级款,5499.00
6,荣耀智慧屏65寸4K超清8K解码无广告AI语音智能教育电视,3899.00
7,TCL电视 65T8E Max 65英寸QLED原色量子点电视 4+64G 120Hz 4K超清全面屏 液晶智能平板 京东小家,4199.00
8,小米电视EA75 2022款 75英寸 金属全面屏 远场语音 逐台校准4K超高清智能教育电视机L75M7-EA以旧换新,2999.00
9,索尼（SONY）XR-75X91K 75英寸 全面屏4K HDR 专业游戏电视 PS5理想搭档 XR认知芯片 /120fps 75X91J升级款,10999.00
10,海信 Vidda 55V1F-R 55英寸 4K超高清 超薄电视 全面屏电视 智慧屏 1.5G+8G 游戏巨幕智能液晶以旧换新,1299.00
11,华为智慧屏 SE 75英寸 超薄电视 8K解码鸿鹄画质 4K超高清MEMC智能液晶电视HD75DESA 2+16GB【HarmonyOS 2】,4399.00
12,索尼 XR-65X90K 65英寸X90K游戏电视 4K120\/VRR\/ALLM PS5搭档,6999.00
13,TCL 65V8G 65英寸电视 百级分区背光 HDR1000 120Hz 4K超高清 智能液晶电视机65寸,4399.00
14,TCL电视 75V6D 75英寸 2+32GB大内存 AI声控超薄全面屏 MEMC防抖 4K超清 液晶网络智能电视机 以旧换新,3499.00
15,海信电视65E5H 65英寸 多分区背光 120Hz高刷MEMC 4K超高清全面屏智能液晶智慧屏游戏电视机 以旧换新,3999.00
16,索尼（SONY）KD-85X85K 85英寸 4K HDR 全面屏智能电视 广色域 120Hz 客厅巨幕 视觉低疲劳认证 (X85J升级款),10999.00
17,雷鸟 TCL出品电视 鹏6 SE 75英寸 2+32GB大内存 高色域 4K超清全面屏MEMC液晶网络智能电视机75S365C以旧换新,2699.00
18,海信激光电视80D9H 80英寸 205%高色域全色护眼电视机 128G超大内存4K超高清 以旧换新,11999.00
19,"京品家电
海信电视 85E3G-J 85英寸4K超清智慧屏 130%高色域超薄社交全面屏 液晶智能平板电视机巨幕 以旧换新",5999.00
20,小米电视EA65 2022款 65英寸 金属全面屏 远场语音 逐台校准4K超高清智能教育电视机L65M7-EA以旧换新,1899.00
21,海信电视75E5H 75英寸 多分区背光 120Hz高刷MEMC 4K超高清全面屏智能液晶智慧屏游戏电视机 以旧换新,5999.00
